                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                 2510                2510 a=21264, b=17850, c=0, sum=14845, carry=0
                 2520                2520 a=14319, b= 2513, c=0, sum=39114, carry=0
                 2530                2530 a= 3725, b=18926, c=0, sum=16800, carry=0
                 2540                2540 a=28946, b=14572, c=0, sum=22651, carry=0
                 2550                2550 a=17209, b= 8863, c=0, sum=43134, carry=0
                 2560                2560 a= 6875, b=10159, c=0, sum=26072, carry=0
                 2570                2570 a=11466, b=23593, c=0, sum=17034, carry=0
                 2580                2580 a=16243, b= 9379, c=0, sum=35059, carry=0
                 2590                2590 a=29109, b= 8481, c=0, sum=24598, carry=0
                 2600                2600 a=13159, b=14137, c=0, sum=37590, carry=0
                 2610                2610 a=11018, b= 4481, c=0, sum=27296, carry=0
                 2620                2620 a=15586, b= 3396, c=0, sum=15499, carry=0
                 2630                2630 a= 6986, b=21773, c=0, sum=18982, carry=0
                 2640                2640 a= 3129, b=17749, c=0, sum=28759, carry=0
                 2650                2650 a= 1757, b= 1849, c=0, sum=20878, carry=0
                 2660                2660 a=16465, b= 3567, c=0, sum= 3606, carry=0
                 2670                2670 a= 8443, b= 6029, c=0, sum=19968, carry=0
                 2680                2680 a= 3744, b=16294, c=0, sum=14472, carry=0
                 2690                2690 a= 1442, b=29229, c=0, sum=20038, carry=0
                 2700                2700 a= 9946, b= 3500, c=0, sum=30671, carry=0
                 2710                2710 a=10672, b=14587, c=0, sum=13446, carry=0
                 2720                2720 a= 1605, b= 5640, c=0, sum=25259, carry=0
                 2730                2730 a= 7462, b= 8524, c=0, sum= 7245, carry=0
                 2740                2740 a=25379, b=21449, c=0, sum=32370, carry=0
                 2750                2750 a=24248, b=16219, c=0, sum=46828, carry=0
                 2760                2760 a=27886, b=26675, c=0, sum=39955, carry=0
                 2770                2770 a= 3292, b=25406, c=0, sum=54561, carry=0
                 2780                2780 a=27524, b=  409, c=0, sum=28698, carry=0
                 2790                2790 a=22953, b=  179, c=0, sum=27933, carry=0
                 2800                2800 a=10484, b=27285, c=0, sum=23132, carry=0
                 2810                2810 a= 6540, b= 8409, c=0, sum=37769, carry=0
                 2820                2820 a= 9602, b=17317, c=0, sum=14949, carry=0
                 2830                2830 a=21365, b=27310, c=0, sum=26919, carry=0
                 2840                2840 a=  130, b=28296, c=0, sum=48675, carry=0
                 2850                2850 a=27512, b=28973, c=0, sum=28426, carry=0
                 2860                2860 a=10799, b=10120, c=0, sum=56485, carry=0
                 2870                2870 a=18352, b=29877, c=0, sum=20919, carry=0
                 2880                2880 a= 8300, b= 2011, c=0, sum=48229, carry=0
